,Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CHN,China,2600,22,0,0,0,0,0,0,4,0,0,0,0,0,1,0,12,0,0,87,187,0,0,0,0,0,0,0,6,0,0
COL,Colombia,384,712,872,1500,302,1211,945,1401,891,1646,2093,2028,2359,3434,1183,1781,1702,588,364,277,419,442,227,227,140,156,143,38,34,149,133
COM,Comoros,29,0,0,0,0,0,0,0,56,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON,Congo,0,0,0,2,135,20,2,1,10445,3763,948,0,3,234,33,0,15,0,2,0,0,0,0,0,0,12,2,51,20,0,0
CRO,Croatia,0,0,0,126,373,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJI,Djibouti,0,0,59,129,33,39,0,0,11,16,25,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,24,53
DRC,DR Congo,28,147,32,67,3285,166,523,33281,13786,7522,7201,2786,1276,7789,3824,707,142,351,816,999,905,55,128,1486,2008,472,366,1844,5654,2589,1795
ECU,Ecuador,0,0,0,0,0,0,99,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,Egypt,0,4,0,13,108,162,237,149,143,29,4,5,0,0,0,35,124,2,0,2,1,0,31,75,135,249,767,368,499,682,448
ERI,Eritrea,0,0,0,0,21,0,0,14,31,782,25,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,85
ETH,Ethiopia,25325,49856,12471,1026,290,76,1039,252,109,1193,47982,50537,403,809,1093,477,304,494,490,367,628,162,121,162,234,196,435,638,653,632,530
GAM,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GEO,Georgia,0,0,52,771,1837,0,52,0,26,0,0,0,0,0,0,19,0,0,0,621,0,3,0,0,0,0,0,0,0,0,0
GHA,Ghana,0,0,30,63,2,2004,155,0,0,0,0,30,50,36,0,0,0,0,0,55,8,1,0,0,0,0,0,0,0,0,0
GNB,,0,0,0,0,0,0,0,0,0,505,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRG,,0,0,0,4,0,0,0,0,0,38,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUA,Guatemala,491,681,426,393,218,287,122,20,2,1,0,0,5,2,0,4,58,0,5,13,1,0,0,0,131,748,927,786,1052,7685,10598
GUI,Guinea,0,0,0,0,0,0,0,0,0,0,0,248,432,0,0,0,3,15,45,0,160,1,25,9,98,0,3,0,0,0,2
GUY,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
HAI,Haiti,48,2,270,0,37,44,1,0,0,0,11,0,0,0,0,231,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HON,Honduras,0,0,0,0,0,0,0,0,0,0,9,6,0,1,47,30,0,0,0,18,0,49,18,18,0,21,0,10,0,0,4
IND,India,1850,4726,3654,4147,2319,1429,1079,1328,1370,1553,1661,4050,1720,2898,2186,1767,2018,2159,1720,1850,1622,1636,794,794,706,746,619,788,906,954,745
INS,Indonesia,7,200,429,54,27,12,63,34,441,97,1805,917,834,762,1068,1082,242,13,2,6,0,0,9,1,20,12,4,0,2,32,15
IRN,Iran,0,31,45,10,186,18,26,27,38,14,28,49,119,0,2,0,62,66,86,121,158,102,229,35,11,5,24,77,58,206,199
IRQ,Iraq,50,1446,24481,811,333,787,1355,637,328,3,33,132,20,85,7999,4365,3580,4604,4484,2644,1711,1721,1186,1334,4044,17050,13736,9961,10142,834,498
