Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brunei Darussalam,BRN,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,98.1962784,98.64924038,98.72202034,99.01582682,99.20986543,99.45899574,99.44470716,99.25106098,99.194803,99.10619207,99.45831113,99.61368712,99.79785052,99.89109501,99.89321051,99.92727513,99.93403162,99.93187082,99.96906497,99.95511669,99.9560083,99.94386263,99.9437254,99.93343027,99.94623239,99.95465087,,,,,99.25907212,99.70904025,98.69373625,,,91.11046366,88.57554384,,,95.30602418,93.22573166,94.3811601,91.40927959,,96.32580167,96.14518115,97.81516798,96.06217365,95.1502706,95.44216674,95.74718037,96.52484635,92.53987521,92.97949357,87.88146917,89.56726218,95.56322705,91.09238809,
Bhutan,BTN,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.07104682,25.61839269,,,,30.9944017,41.94167675,,,,,,30.93710958,27.18582534,36.51445985,48.917514,42.46872382,1.179381166,1.326033846,32.91664734,,,,,,,,
Botswana,BWA,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081263378,0.069931464,0.015095129,0.03870455,0.035366311,0.089667094,0.139035466,0.248985732,0.340599662,0.319374476,0.1838424,0.671535558,0.983536494,0.683199555,0.721388992,0.499566775,0.170072931,0.149453149,0.183627416,0.291358491,
Central African Republic,CAF,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,2.131822574,,0.754858025,0.829299826,0.170004294,0.432015276,0.239749276,0.300227697,0.18919196,0.135378909,,0.459046279,0.009479398,0.003232246,,,,,,,,,,,,,,,,,,0.171283046,0.392976755,0.778185069,0.189909402,0.108270004,0.196795627,0.155459163,0.454669197,0.075431207,0.077865307,0,0.183133392,0.399435923,0.013484562,,0.024362407,,,0.544915903,0.046403868,0.093061213,,0.011289194,0.046249204,0.006901333,0.023409585,,
Canada,CAN,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,8.787815877,5.024692448,4.961415174,5.088761337,4.838013237,5.287258946,5.134353535,5.406911253,6.044943865,7.138096002,8.593247427,9.78095975,15.79841431,16.51258952,13.81145371,12.52250698,10.92413825,13.20936133,14.27829163,13.84095542,14.33535319,13.75951479,13.10294166,14.0507464,9.654047053,10.10085783,9.003053835,9.185585379,9.986149385,10.78330144,10.30283218,10.50276887,9.686881244,9.110034453,10.47946068,10.18522911,8.236625295,8.485465374,14.09737955,15.3001928,12.61851614,16.12060141,17.75676388,21.40385137,21.13795987,22.1140335,29.13583412,24.42064416,25.32436784,27.43246677,25.62419036,26.36156948,28.89307071,20.60342929,17.6256219,21.95179498,24.00579162,24.04435221,
Central Europe and the Baltics,CEB,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.012925738,6.925671272,5.644605426,5.639356239,5.172293235,4.254622964,4.138184267,5.106626779,5.080307748,4.949120499,4.331761563,5.153496758,5.822798912,5.614916028,4.698072396,5.627405494,4.920194552,5.40668804,6.073536443,6.267710293,5.667275136,5.105657409,4.339866746,3.385441058,3.683989545,3.550726412,3.287997019,
Switzerland,CHE,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,0.04824169,0.056254692,0.109131225,0.128804886,0.115823135,0.139685679,0.155319346,0.165879154,0.166934982,0.091287976,0.095297373,0.155003912,0.220184834,0.183963878,0.130488227,0.136578706,0.089618584,0.087948707,0.121496062,0.114516056,0.137636324,0.287131592,0.351445286,0.329586098,0.170748204,0.134924517,0.067795134,0.042640559,0.071062998,0.149607999,0.107529361,0.133320756,0.130740537,0.100227817,0.119050012,0.237382048,0.202739377,0.219329699,0.359210741,0.323285806,2.011661436,2.011543463,1.856284428,2.130269982,2.536551723,2.410110688,3.0262802,2.836535392,2.819099845,3.114485482,2.344544951,1.019142401,1.113929031,0.949399935,0.686354181,0.691126408,0.936365774,0.812850782,
Channel Islands,CHI,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,0.007005698,0.007084787,0.008932182,0.006759488,0.005517419,0.130004738,0.096766082,0.064735434,0.033853484,0.097130294,0.328018082,0.207779303,0.804363271,0.865672508,1.568464164,2.740668995,1.698883674,1.29747181,1.296096193,1.800777413,1.993864796,1.58310565,1.262685909,0.473205281,0.061812823,0.140397222,,,0.508645743,0.501583244,0.333449383,0.172904125,0.199679586,0.242583032,0.179531971,0.296581936,0.385831102,0.43060564,1.114018728,1.453510585,1.188077956,2.863204506,2.254065848,2.808987725,2.433717335,1.852531365,2.3797785,1.461916177,0.937953761,1.117670127,0.990733581,0.995623298,0.919863483,0.76367912,0.792900561,0.915628502,0.88123143,0.864510069,
China,CHN,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,23.02097657,25.75895273,11.64274043,11.45505044,,,,,5.52424102,4.478368936,3.362623408,3.583847216,3.926778394,3.822138855,2.815683827,2.389964989,3.152221064,3.158503042,2.590704217,2.536175349,2.440530501,2.312723767,1.833935705,1.711198487,2.220806375,1.696236856,1.690563097,1.70007728,1.513749822,1.529469918,1.470610703,1.227266391,1.281000902,1.563557442,1.86944936,1.882420838,
