"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Brazil","BRA","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2561039605367","14.8598762321728","14.3169111233255","14.1332698351053","13.499158987723","13.6294057824755","13.6863553594782","13.615780876239","14.1786055897712","14.0263128687243","",
"Barbados","BRB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.2434179778782","25.7744229931775","26.7347427673779","25.2846656469472","25.9597546106119","25.428786969697","24.7146599932818","24.7129304966887","25.9529948899624","24.4711838177874","23.0711720761172","23.5162660066007","25.3918081442206","27.4944565838509","","","","",
"Brunei Darussalam","BRN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","5.42969545157606","6.27833472253946","7.20804942537648","6.37929185166339","6.75370239737533","","5.97022752058754","5.19127712718609","4.41394270965256","4.95247801880619","5.04877265136773","6.23357039072189","5.92463011173419","6.61170560046873","7.53024467648853","6.53889839316487","8.01373770379845","7.01519789586183","10.3646493437978","8.80298563620384","9.5368537421892","9.64434722743534","7.90960328140895","8.57626825591557","9.26571275566499","7.69828607011819","8.62515392606498","9.46561850608389","13.4615326355097","13.8352247016866","15.0542417161478","14.7226979126826","13.6986506986787","13.2620386193551","12.9794732034214","12.5415621434496","16.0175847960293","","",
"Botswana","BWA","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.5016129375315","25.557193488693","27.8455400724745","23.6847992198649","19.9167439175835","16.7657958548749","14.9371078939367","","","","","","","","","","26.9325573337029","25.7128158352885","27.3742013503065","27.2860533541824","23.6044318389763","23.6674545149458","27.1153596070791","25.6098922724084","25.7912323342787","24.6875130065177","20.8506734484199","22.145377682592","19.8401485426951","19.2411172087753","",
"Central African Republic","CAF","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.21197995714737","","","","8.28435088958081","7.90850338366884","8.4078921966114","7.54040362417486","8.17237728051962","","4.09850069590061","5.44899138512974","6.80758893701064","7.08124424919758","8.63983071970915","","",
"Canada","CAN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.163120475269","14.4495626046653","14.3571609133277","13.696871373931","13.1145132342082","13.3295053035503","13.9240137079168","14.615997344839","14.7191652574696","14.7505420833922","14.9073416407909","14.2315903919755","13.425258017978","13.275753268971","13.3903103940191","13.3421499081176","13.3872847399858","13.3694135232077","12.4210262668013","12.3355440500458","11.760444874682","11.8315383389776","11.6644273631038","11.6235045990299","11.8083790792206","12.3898109063213","12.496562633144","12.7154317836521","12.9136059169299","13.0087183435928","",
"Central Europe and the Baltics","CEB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.3147587005176","20.323025896355","19.6120213109824","19.3146967433812","19.2004452674243","18.4662128376473","17.9363510246918","17.2143282343294","17.3498476164261","17.71001651557","17.3282015451634","17.4949407333296","17.7489071590953","18.2717038119994","18.1691298350561","16.7673989739202","16.9633040783093","17.1834197321523","17.2445857447844","17.2387572468567","17.2544104474234","17.6590891213179","17.6429338237119","17.6675188270174","17.7145761596772","17.7814889257055","",
"Switzerland","CHE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","6.9970140877242","6.66166809521927","6.82143687111871","6.89607285470614","7.91484400383963","7.60029032136509","7.7818008494974","7.33901381873864","7.50969302495038","7.52548118774972","7.82733090555715","7.86313759852691","8.02519383914334","7.90091505519685","8.55708598850542","8.20425456926008","8.58730665536216","8.05824778222283","8.19094766344183","7.99231273533204","8.15555900076155","7.55856185566141","8.09004965185081","8.15154582902005","8.59095288150877","8.56416133499752","9.5260820692595","9.16380389242875","10.2963979795525","9.22663079967265","9.18997208710248","9.21059940231623","9.2435033482433","9.34043149389252","9.42261847185593","9.2701601775373","9.81030804725997","9.56789060448665","9.60570290130178","9.53926404180571","9.42129853035451","9.49458556185171","9.30972660662521","9.75699113702263","9.63696585181636","10.2873038941273","9.97177529530404","10.1739907178265","",
"Channel Islands","CHI","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","16.2232711468311","17.4205000961031","16.337951930124","20.6011544042575","18.3977542528978","18.7557734246353","18.6808148161421","17.9453589017587","19.0466235497464","20.1205861545475","19.7534985647664","18.8434547124414","20.028187295002","18.1312115808601","17.9795039650436","16.8083162620642","14.3740317441218","13.9403644948977","13.3073843505649","15.2279630659371","15.7428897446275","16.3145899577863","15.6247442076011","15.1007539454673","16.17060718867","15.9253540500661","15.8520768946625","15.179757009668","16.1526928162893","16.0335518222945","16.2016951438812","15.9489633682809","16.4022315155121","18.0251236302119","19.4919068546328","20.2569326180008","18.7118596070048","14.5230954986113","17.3565143958498","18.858990847612","18.9948668666767","17.3869727033454","16.9701561950724","17.443761832853","17.3893461921379","17.4628262936037","18.2194149378896","17.6175189184395","",
"China","CHN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.56924385784706","9.05725398274024","9.77140606467054","10.101426526616","10.3094417362981","10.2120486088405","10.3127948892868","10.2567686829398","9.90773258312895","9.6786188269997","9.37692044712997","9.12291556058215","9.41931765253418","9.05268573156699","","",
"Cote d'Ivoire","CIV","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0109074301712","","","","","18.8190745863034","","","","","","14.3103033452787","14.633696183801","13.3776188984917","14.1947936415008","13.8840880605387","14.6578586724321","15.0584167493245","15.053502752571","14.5990317093383","14.3255146586256","10.9316199099345","14.3904685399922","14.5426974485359","13.9736401625078","11.1758223326702","11.5663455369133","11.9669833257913","11.7687552395283","12.0328548304303","",
"Cameroon","CMR","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.76735861979995","8.90515524474841","9.75370088625251","7.29762402787841","6.33224772347153","7.78902933088048","","","10.112523126378","10.4861780621864","","","","","","","","","","","","","11.7545941731807","12.0104146851817","12.7758704140547","12.6128073233581","12.0698865506137","12.2454523268794","12.7552804022225","","",
"Congo, Dem. Rep.","COD","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","9.37591904213335","9.43446478003595","10.503159469959","8.03289755429522","6.1092948452258","6.22339933627597","5.48574084030153","7.21910739305934","8.11515060402112","7.40531775740762","6.98266871553455","7.04959166008086","8.31551167717545","10.1000383593297","8.7071753370947","8.74504378724358","9.32071013221703","10.7040628010462","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.07093687448128","8.14290465105231","8.64750467565705","7.81359440634417","5.68812043548284","5.29500881987698","6.02757381714862","5.89662454769078","8.22388188953649","6.90293864613017","8.11448976998956","7.27824633580598","8.62436076451018","9.65408152368468","12.6864336032387","13.6576600073647","11.2638510522416","7.83717363811465","","",
