Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bhutan,BTN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.751439723,0.126757285,0.215969978,0.137310611,8.76E-05,0.02303265,,,,,,,,
Botswana,BWA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387967427,0.245767183,0.68877827,0.420866304,0.938314466,0.655100823,0.385021903,
Central African Republic,CAF,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.62927138,0.032534625,1.413306999,0.289135277,,5.268427891,11.77186196,22.07636113,29.01931909,,
Canada,CAN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9010546,15.38765995,18.22358567,15.89718957,15.05172418,15.93129484,15.77685709,15.04505966,15.1461249,14.41885817,14.70105725,15.69048913,16.51307169,
Central Europe and the Baltics,CEB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.92469381,11.32235094,12.91867136,13.24958091,12.95020981,12.6450049,12.4902728,12.66294616,13.19488625,13.20346953,13.02643911,12.92505092,12.98656745,
Switzerland,CHE,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.86086503,24.88606281,26.67118879,25.82741866,25.28558024,26.29905418,26.98907144,26.88887616,27.27706166,27.51319325,14.02940636,13.32709561,12.91396374,
Channel Islands,CHI,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.032328301,7.069693034,6.641758133,6.556024072,5.308838497,5.398307761,6.962894716,7.318971313,7.061323219,8.543349479,6.976647217,6.891835411,7.527474108,
China,CHN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.15397172,29.36566988,31.94094521,32.13547804,30.48546293,30.85059535,31.57912806,29.69645103,30.42310804,30.24421982,30.90869414,31.46958093,30.78501209,
Cote d'Ivoire,CIV,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.37769739,12.47413431,4.247803748,16.79995157,8.970499601,4.397067999,11.48007374,7.236432923,8.590604234,7.01551172,6.559932001,11.232924,
Cameroon,CMR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.325611149,7.120381856,4.881477979,5.618417735,6.017404499,,,
"Congo, Dem. Rep.",COD,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.123074501,1.088693469,1.2213629,2.189426449,2.627891125,6.671594467,
Colombia,COL,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.065465412,4.017364655,5.583739456,5.491249617,4.713373353,5.747294448,7.851086191,8.120269727,9.85342256,10.33658258,8.992398114,7.254302214,9.124115414,
Comoros,COM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.126239687,3.136092819,0.452268289,27.24378835,0.171855653,3.031922602,
Cabo Verde,CPV,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.601738999,,,0.002953693,,,,9.64E-05,,
Costa Rica,CRI,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.44471765,39.57330619,44.26176547,40.14781082,40.99701221,39.79189285,43.44138806,36.50761059,16.98570235,18.44283259,18.49841044,18.46687014,17.56490681,
Caribbean small states,CSS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.370164798,,,,,,2.80161294,5.590892575,5.874297932,,
Cuba,CUB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.29565411,32.01723917,32.52942908,38.20152023,30.3585435,16.59149708,13.08339834,14.52826214,12.71082453,13.32851305,13.34996243,19.87383673,19.87421432,
Czech Republic,CZE,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2365112,15.77567409,17.42748372,17.86505746,18.70501251,18.58275886,17.33810859,17.38660688,17.76992611,16.97265977,17.88264612,19.60878881,20.804636,
Germany,DEU,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4914459,15.11269816,16.84564932,16.97450795,16.41513595,17.33249078,17.36616268,17.26047692,17.85405921,18.17252869,15.84895846,15.77146205,16.42632709,
Djibouti,DJI,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.923621421,,,,,,,,,,,
Dominica,DMA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.837412395,,9.006074095,,,,,,,,
Denmark,DNK,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.31589229,16.92094451,18.92987261,15.46830164,15.27512411,15.82761556,15.83569656,15.71848209,17.18957243,14.89148073,12.50932317,12.37370797,12.04440921,
Dominican Republic,DOM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.64440659,3.739126646,2.506950425,2.349489881,2.38651253,3.200658343,4.454537827,4.304970425,4.260574818,4.76560352,8.575012506,6.997050165,,
Algeria,DZA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.203712831,1.041776055,1.176831871,1.168677212,0.541468119,0.343094834,0.569126975,0.328391618,0.233281062,0.48961408,0.960299341,,,
East Asia & Pacific (excluding high income),EAP,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7152629,28.07061756,32.56736608,30.70888975,29.072871,29.65526975,30.37198625,29.15107934,29.84911405,29.84878894,31.57047752,31.96366951,31.69196324,
Early-demographic dividend,EAR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.756043857,8.603288111,8.083261653,8.038272099,7.808376575,8.106331395,8.521811774,8.791299032,10.59481844,10.57068645,11.84420029,
East Asia & Pacific,EAS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.32059109,28.90110328,32.11468253,30.6721713,27.64129873,27.7373745,28.21140752,27.22928253,28.18124323,28.08060379,33.90192236,34.64457547,36.92901658,
Europe & Central Asia (excluding high income),ECA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.735269323,5.372436168,8.781776415,9.405166107,7.876908268,8.959300761,10.57000922,11.10414492,12.47281448,11.09046231,9.272944534,8.807250865,10.3432839,
Europe & Central Asia,ECS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.76904355,15.37145486,17.02969657,17.21269701,16.39746193,16.90216526,17.14555541,17.13874827,17.97905455,18.17546107,15.95268748,15.44817749,16.1682565,
Ecuador,ECU,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.592018826,4.605033611,8.769558303,3.576748358,2.933206015,5.277751278,5.637215391,7.688544157,9.192153676,8.053772393,5.289314901,5.527952825,
