,Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MAA,Mauritania,23,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8,2,0,0,0,0,0,0,0
MAC,Macedonia,0,0,0,0,0,0,0,0,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAG,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,7,0,0,3,0,0,0,0,1,0,3
MAL,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
MEX,Mexico,2,3,0,3,3,12,4,15,6,5,0,0,0,2,0,30,12,39,186,99,235,276,262,196,164,141,213,86,100,151,189
MLD,Moldova,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLI,Mali,0,15,11,8,1,41,4,0,0,0,4,0,0,0,0,2,0,0,8,10,8,0,0,43,89,28,53,50,121,229,254
MOR,Morocco,6,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MYA,Myanmar,35,32,31,46,11,81,91,80,89,126,130,175,94,100,64,84,81,113,175,64,37,51,263,77,86,35,199,57,88,73,147
MZM,Mozambique,135,53,52,34,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,17,12,1,28,1,47,116
NEP,Nepal,0,9,0,1,3,1,1,53,37,218,244,186,229,1531,885,1360,649,215,19,9,2,0,0,0,0,0,0,0,0,0,2
NIC,Nicaragua,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,Nigeria,0,2,4,12,8,15,1,5,22,30,42,30,40,43,62,84,19,21,21,27,40,91,252,406,328,590,319,358,521,406,481
NIR,Niger,0,2,9,11,1,11,7,3,9,2,0,0,0,0,0,0,0,0,22,12,0,0,0,0,0,0,15,13,11,12,33
PAK,Pakistan,20,46,15,8,13,37,22,19,15,18,86,0,1,17,92,9,13,25,199,625,827,825,551,604,321,386,249,128,111,63,71
PAN,Panama,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR,Paraguay,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PER,Peru,172,140,123,127,72,35,19,25,19,9,16,4,3,6,4,2,1,3,9,13,13,13,11,0,1,8,4,2,2,0,1
PHI,Philippines,135,126,112,59,45,40,18,26,40,23,48,171,146,211,153,135,124,131,103,182,155,119,149,109,150,149,203,167,251,118,128
PNG,Papua New Guinea,6,15,3,16,13,6,11,26,4,0,2,2,6,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3
RUM,Romania,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUS,Russia,6,28,56,1,12,31,206,147,5,3,67,176,159,390,73,254,247,152,145,192,315,269,242,223,179,75,32,28,28,19,12
RWA,Rwanda,0,36,38,32,35,1590,7,49,73,71,8,12,28,3,0,9,14,15,21,9,320,32,38,42,3,4,10,41,22,13,36
SAF,South Africa,225,563,448,572,578,260,39,37,20,23,11,1,0,3,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1
SAL,El Salvador,59,45,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,Senegal,3,14,7,17,30,0,39,2,32,31,9,25,12,15,5,1,1,4,0,3,11,9,14,10,4,0,0,0,0,1,0
SIE,Sierra Leone,0,0,126,63,69,162,197,100,135,363,198,64,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOM,Somalia,34,53,19,18,20,37,71,84,27,18,38,27,30,61,49,53,26,79,290,276,253,311,274,485,389,433,312,340,237,434,367
SPN,Spain,12,10,22,15,6,9,10,4,11,6,0,15,12,4,2,1,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0
SRI,Sri Lanka,192,244,316,180,111,80,252,121,135,179,184,177,136,5,23,36,83,229,488,1016,387,0,2,0,1,0,0,0,1,0,0
SSD,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42,89,122,91,64,115,150,57
SUD,Sudan,32,61,32,57,79,18,36,42,77,122,63,69,71,38,100,196,75,128,60,76,71,76,173,132,143,159,366,256,66,100,90
SYR,Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,952,9256,12417,12141,7034,5178,3961,2093,1887
TAJ,Tajikstan,0,0,0,38,35,31,47,66,10,19,1,2,0,0,0,0,1,3,0,0,7,21,5,0,2,0,0,0,0,0,1
TAZ,Tanzania,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
THI,Thailand,0,0,0,1,1,0,0,0,1,1,0,0,0,0,16,126,433,445,366,224,169,154,180,141,136,71,55,49,27,40,27
TOG,Togo,0,0,4,2,3,0,0,0,0,4,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TRI,Trinidad,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUN,Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,6,4
TUR,Turkey,63,69,133,330,482,613,528,338,278,242,257,26,31,18,30,118,175,92,133,118,47,67,125,131,8,7,240,304,138,241,228
UCB,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGA,Uganda,24,33,19,4,0,18,27,140,90,133,91,126,66,185,195,286,241,111,37,68,220,89,109,36,38,75,42,27,29,63,54
UK,United Kingdom,29,34,32,30,34,16,0,2,4,3,0,1,1,4,2,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,1
